year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,Andhra Pradesh,3,Tekkali,Ramu Geddevalasa,MALE,35,GENERAL,IND,Helicopter,613,1,614,0.347711841,224852
2019,Andhra Pradesh,3,Tekkali,Gutla Kanchana,FEMALE,31,GENERAL,IND,DIAMOND,567,2,569,0.322228074,224852
2019,Andhra Pradesh,3,Tekkali,NOTA,,,,NOTA,NOTA,2929,6,2935,1.662107904,224852
2019,Andhra Pradesh,3,Tekkali,Chintada Dileep Kumar,MALE,38,SC,INC,Hand,1706,37,1743,0.987071236,224852
2019,Andhra Pradesh,3,Tekkali,Chandrasekhara Patnaik,MALE,58,GENERAL,AIFB,Lion,213,3,216,0.122322081,224852
2019,Andhra Pradesh,3,Tekkali,Kaniti Kiran Kumar,MALE,37,GENERAL,JnP,Glass Tumbler,2710,96,2806,1.589054439,224852
2019,Andhra Pradesh,3,Tekkali,HANUMANTHU UDAY BHASKAR,MALE,50,GENERAL,BJP,Lotus,773,156,929,0.526098209,224852
2019,Andhra Pradesh,3,Tekkali,ATCHANNAIDU KINJARAPU,MALE,49,GENERAL,TDP,Bicycle,86626,1032,87658,49.64124519,224852
2019,Andhra Pradesh,3,Tekkali,PERADA TILAK,MALE,45,GENERAL,YSRCP,Ceiling Fan,77769,1344,79113,44.80216102,224852
2019,Andhra Pradesh,3,Tekkali,Ramu Geddevalasa,MALE,35,GENERAL,IND,Helicopter,613,1,614,0.347711841,224852
2014,Andhra Pradesh,4,Pathapatnam,MULLETI SRINIVAS ACHARI,MALE,35,GENERAL,IND,Ganna Kisan,521,,521,0.341417703,217897
2014,Andhra Pradesh,4,Pathapatnam,REDDY SHANTHI,FEMALE,51,GENERAL,YSRCP,Ceiling Fan,75669,1272,76941,50.42038283,217897
2014,Andhra Pradesh,4,Pathapatnam,NOTA,,,,NOTA,NOTA,4202,15,4217,2.763451923,217897
2014,Andhra Pradesh,4,Pathapatnam,BANNA RAMU,MALE,44,SC,INC,Hand,1679,23,1702,1.115341516,217897
2014,Andhra Pradesh,4,Pathapatnam,KANTUBHUKTA BHASKARA RAO,MALE,42,GENERAL,ACP,Tooth Brush,524,2,526,0.344694264,217897
2014,Andhra Pradesh,4,Pathapatnam,GEDELA GYANA SAGAR,MALE,27,GENERAL,JnP,Glass Tumbler,5378,130,5508,3.609460088,217897
2014,Andhra Pradesh,4,Pathapatnam,RAGHAVA RAO SALANA,MALE,53,GENERAL,BJP,Lotus,1341,109,1450,0.950202819,217897
2014,Andhra Pradesh,4,Pathapatnam,KALAMATA VENKATA RAMANA MURTHY,MALE,56,GENERAL,TDP,Bicycle,60975,415,61390,40.22962143,217897
2014,Andhra Pradesh,4,Pathapatnam,BHASKARARAO BODDEPALLI,MALE,30,GENERAL,IND,Air Conditioner,343,1,344,0.225427427,217897
2019,Andhra Pradesh,4,Pathapatnam,MULLETI SRINIVAS ACHARI,MALE,35,GENERAL,IND,Ganna Kisan,521,,521,0.341417703,217897
2019,Andhra Pradesh,4,Pathapatnam,REDDY SHANTHI,FEMALE,51,GENERAL,YSRCP,Ceiling Fan,75669,1272,76941,50.42038283,217897
2019,Andhra Pradesh,4,Pathapatnam,NOTA,,,,NOTA,NOTA,4202,15,4217,2.763451923,217897
2019,Andhra Pradesh,4,Pathapatnam,BANNA RAMU,MALE,44,SC,INC,Hand,1679,23,1702,1.115341516,217897
2019,Andhra Pradesh,4,Pathapatnam,KANTUBHUKTA BHASKARA RAO,MALE,42,GENERAL,ACP,Tooth Brush,524,2,526,0.344694264,217897
2019,Andhra Pradesh,4,Pathapatnam,GEDELA GYANA SAGAR,MALE,27,GENERAL,JnP,Glass Tumbler,5378,130,5508,3.609460088,217897
2019,Andhra Pradesh,4,Pathapatnam,RAGHAVA RAO SALANA,MALE,53,GENERAL,BJP,Lotus,1341,109,1450,0.950202819,217897
2019,Andhra Pradesh,4,Pathapatnam,KALAMATA VENKATA RAMANA MURTHY,MALE,56,GENERAL,TDP,Bicycle,60975,415,61390,40.22962143,217897
2019,Andhra Pradesh,4,Pathapatnam,BHASKARARAO BODDEPALLI,MALE,30,GENERAL,IND,Air Conditioner,343,1,344,0.225427427,217897
2014,Andhra Pradesh,5,Srikakulam,GUNDA LAKSHMI DEVI,FEMALE,58,GENERAL,TDP,Bicycle,77575,732,78307,44.16713199,256243
2014,Andhra Pradesh,5,Srikakulam,MYLAPILLI TEJU,FEMALE,28,GENERAL,IND,SHIP,528,5,533,0.300625504,256243
2014,Andhra Pradesh,5,Srikakulam,NOTA,,,,NOTA,NOTA,3063,19,3082,1.738326086,256243
2014,Andhra Pradesh,5,Srikakulam,RAGOLU NAGA SIVA,MALE,32,GENERAL,JAJGP,Mike,303,2,305,0.172027727,256243
2014,Andhra Pradesh,5,Srikakulam,CHOWDARI SATISH,MALE,33,GENERAL,INC,Hand,1800,27,1827,1.030474289,256243
2014,Andhra Pradesh,5,Srikakulam,KORADA SARVESWARA RAO,MALE,39,GENERAL,JnP,Glass Tumbler,7440,117,7557,4.262339464,256243
2014,Andhra Pradesh,5,Srikakulam,CHALLA VENKATESWARA RAO,MALE,52,GENERAL,BJP,Lotus,1260,80,1340,0.75579395,256243
2014,Andhra Pradesh,5,Srikakulam,DHARMANA PRASADA RAO,MALE,60,GENERAL,YSRCP,Ceiling Fan,82388,1696,84084,47.42550635,256243
2014,Andhra Pradesh,5,Srikakulam,MAHESH A,MALE,38,GENERAL,PPOI,FLUTE,261,1,262,0.147774638,256243
2019,Andhra Pradesh,5,Srikakulam,GUNDA LAKSHMI DEVI,FEMALE,58,GENERAL,TDP,Bicycle,77575,732,78307,44.16713199,256243
2019,Andhra Pradesh,5,Srikakulam,MYLAPILLI TEJU,FEMALE,28,GENERAL,IND,SHIP,528,5,533,0.300625504,256243
2019,Andhra Pradesh,5,Srikakulam,NOTA,,,,NOTA,NOTA,3063,19,3082,1.738326086,256243
2019,Andhra Pradesh,5,Srikakulam,RAGOLU NAGA SIVA,MALE,32,GENERAL,JAJGP,Mike,303,2,305,0.172027727,256243
2019,Andhra Pradesh,5,Srikakulam,CHOWDARI SATISH,MALE,33,GENERAL,INC,Hand,1800,27,1827,1.030474289,256243
2019,Andhra Pradesh,5,Srikakulam,KORADA SARVESWARA RAO,MALE,39,GENERAL,JnP,Glass Tumbler,7440,117,7557,4.262339464,256243
2019,Andhra Pradesh,5,Srikakulam,CHALLA VENKATESWARA RAO,MALE,52,GENERAL,BJP,Lotus,1260,80,1340,0.75579395,256243
2019,Andhra Pradesh,5,Srikakulam,DHARMANA PRASADA RAO,MALE,60,GENERAL,YSRCP,Ceiling Fan,82388,1696,84084,47.42550635,256243
2019,Andhra Pradesh,5,Srikakulam,MAHESH A,MALE,38,GENERAL,PPOI,FLUTE,261,1,262,0.147774638,256243
2014,Andhra Pradesh,6,Amadalavalasa,BODDEPALLI SATYAVATHI,FEMALE,66,GENERAL,INC,Hand,969,24,993,0.661686802,189677
2014,Andhra Pradesh,6,Amadalavalasa,NOTA,,,,NOTA,NOTA,2651,5,2656,1.769828948,189677
2014,Andhra Pradesh,6,Amadalavalasa,SATEESHKUMAR TULUGU,MALE,27,GENERAL,IND,Almirah,380,3,383,0.255212533,189677
2014,Andhra Pradesh,6,Amadalavalasa,PEDADA RAMAMOHANA RAO,MALE,31,GENERAL,JnP,Glass Tumbler,3193,87,3280,2.185632134,189677
2014,Andhra Pradesh,6,Amadalavalasa,GADDAYYA PATINI,MALE,64,GENERAL,BJP,Lotus,854,102,956,0.637031805,189677
2014,Andhra Pradesh,6,Amadalavalasa,KOONA RAVIKUMAR,MALE,50,GENERAL,TDP,Bicycle,63274,632,63906,42.58384365,189677
2014,Andhra Pradesh,6,Amadalavalasa,THAMMINENI SEETHARAM,MALE,64,GENERAL,YSRCP,Ceiling Fan,76801,1096,77897,51.90676413,189677
2019,Andhra Pradesh,6,Amadalavalasa,BODDEPALLI SATYAVATHI,FEMALE,66,GENERAL,INC,Hand,969,24,993,0.661686802,189677
2019,Andhra Pradesh,6,Amadalavalasa,NOTA,,,,NOTA,NOTA,2651,5,2656,1.769828948,189677
2019,Andhra Pradesh,6,Amadalavalasa,SATEESHKUMAR TULUGU,MALE,27,GENERAL,IND,Almirah,380,3,383,0.255212533,189677
2019,Andhra Pradesh,6,Amadalavalasa,PEDADA RAMAMOHANA RAO,MALE,31,GENERAL,JnP,Glass Tumbler,3193,87,3280,2.185632134,189677
2019,Andhra Pradesh,6,Amadalavalasa,GADDAYYA PATINI,MALE,64,GENERAL,BJP,Lotus,854,102,956,0.637031805,189677
2019,Andhra Pradesh,6,Amadalavalasa,KOONA RAVIKUMAR,MALE,50,GENERAL,TDP,Bicycle,63274,632,63906,42.58384365,189677
2019,Andhra Pradesh,6,Amadalavalasa,THAMMINENI SEETHARAM,MALE,64,GENERAL,YSRCP,Ceiling Fan,76801,1096,77897,51.90676413,189677
2014,Andhra Pradesh,7,Etcherla,Mahanthi. Satyanarayana.,MALE,40,GENERAL,IND,Bat,782,,782,0.400262064,232070
2014,Andhra Pradesh,7,Etcherla,Mudili Venkata Ramana,MALE,40,GENERAL,IND,Gas Stove,640,,640,0.327580206,232070
2014,Andhra Pradesh,7,Etcherla,Ananth Mahanthi,MALE,33,GENERAL,IND,Carrom Board,269,,269,0.137686055,232070
2014,Andhra Pradesh,7,Etcherla,Kari. Siva Rao,MALE,42,GENERAL,PPOI,FLUTE,195,,195,0.099809594,232070
2014,Andhra Pradesh,7,Etcherla,NOTA,,,,NOTA,NOTA,4623,5,4628,2.368814364,232070
