year,state,ac_number,ac_name,candidate_name,sex,age,category,party,symbol,general,postal,total,percentage_votes_polled,total_electors
2014,andhra pradesh,92,bapatla,pulugu. madhu sudhana reddy,male,43.0,general,ind,diamond,113,,113,0.073486854,185076
2014,andhra pradesh,92,bapatla,n. prakasarao,male,53.0,general,ind,hour glass,90,,90,0.058529352,185076
2014,andhra pradesh,92,bapatla,v. thulasi rao,male,38.0,general,ind,apple,41,,41,0.026663372,185076
2014,andhra pradesh,92,bapatla,katta rubenu,male,26.0,sc,ind,tractor chalata kissan,352,,352,0.228914801,185076
2014,andhra pradesh,92,bapatla,badugu vijaya bharath,male,32.0,sc,prshp,helicopter,110,,110,0.071535875,185076
2014,andhra pradesh,92,bapatla,mallisetty prasannalatha,female,48.0,sc,ind,cup & saucer,458,2.0,460,0.299150024,185076
2014,andhra pradesh,92,bapatla,pulugu. suseela,female,57.0,general,ind,air conditioner,111,1.0,112,0.072836528,185076
2014,andhra pradesh,92,bapatla,nota,,,,nota,nota,756,4.0,760,0.494247865,185076
2014,andhra pradesh,92,bapatla,vemavarapu vijaya kumar,male,35.0,sc,ind,gas cylinder,374,2.0,376,0.244522628,185076
2014,andhra pradesh,92,bapatla,baburao tumati,male,55.0,sc,ainpp,boat with man and sail,50,2.0,52,0.033816959,185076
2014,andhra pradesh,92,bapatla,marisetty venkatasiva nageswararao,male,50.0,general,ppoi,flute,67,3.0,70,0.04552283,185076
2014,andhra pradesh,92,bapatla,mohammad mohiddin baig,male,58.0,general,inc,hand,1561,17.0,1578,1.026214647,185076
2014,andhra pradesh,92,bapatla,lakshmi narasimha ikkurthi,male,35.0,general,jnp,glass tumbler,3917,89.0,4006,2.605206511,185076
2014,andhra pradesh,92,bapatla,shaik karimulla,male,44.0,general,bjp,lotus,529,48.0,577,0.375238182,185076
2014,andhra pradesh,92,bapatla,annam satish prabhakar,male,44.0,general,tdp,bicycle,63729,908.0,64637,42.03513062,185076
2014,andhra pradesh,92,bapatla,kona raghupathi,male,59.0,general,ysrcp,ceiling fan,78709,1127.0,79836,51.9194376,185076
2014,andhra pradesh,92,bapatla,chukka walter,male,72.0,general,hmrd,bottle,102,1.0,103,0.066983592,185076
2014,andhra pradesh,92,bapatla,yenumala bhaskararao,male,64.0,general,ilp(ap),bucket,89,1.0,90,0.058529352,185076
2014,andhra pradesh,92,bapatla,bhargava reddy doma (bhargava indian),male,25.0,general,ind,battery torch,261,1.0,262,0.170385448,185076
2014,andhra pradesh,92,bapatla,v. l. srinivasa reddy,male,52.0,general,ind,binoculars,143,1.0,144,0.093646964,185076
2014,andhra pradesh,93,prathipadu (sc),thangirala irmiya,male,41.0,sc,ind,electric pole,141,,141,0.067033688,250605
2014,andhra pradesh,93,prathipadu (sc),marku boujanku,male,49.0,sc,ind,envelope,98,,98,0.04659079,250605
2014,andhra pradesh,93,prathipadu (sc),naga paparao. kommu,male,34.0,sc,ind,ring,70,,70,0.033279136,250605
2014,andhra pradesh,93,prathipadu (sc),anusha myla,female,33.0,sc,prshp,helicopter,352,,352,0.167346512,250605
2014,andhra pradesh,93,prathipadu (sc),thippabathini govindu,male,51.0,sc,cpim,tractor,428,,428,0.203478145,250605
2014,andhra pradesh,93,prathipadu (sc),dodda nagamalli raju,male,60.0,sc,ilp(ap),bucket,225,,225,0.106968651,250605
2014,andhra pradesh,93,prathipadu (sc),meruga. vijaya raju,male,35.0,sc,navap,stethoscope,208,,208,0.098886575,250605
2014,andhra pradesh,93,prathipadu (sc),yddu kantharao,male,43.0,sc,ppoi,flute,91,,91,0.043262877,250605
2014,andhra pradesh,93,prathipadu (sc),mekathoti sucharitha,female,47.0,sc,ysrcp,ceiling fan,91876,632.0,92508,43.97980432,250605
2014,andhra pradesh,93,prathipadu (sc),nota,,,,nota,nota,835,4.0,839,0.398874214,250605
2014,andhra pradesh,93,prathipadu (sc),dokka manikya varaprasada rao,male,57.0,sc,tdp,bicycle,84767,343.0,85110,40.46267507,250605
2014,andhra pradesh,93,prathipadu (sc),ravela kishore babu,male,61.0,sc,jnp,glass tumbler,26240,131.0,26371,12.53720132,250605
2014,andhra pradesh,93,prathipadu (sc),korivi. vinay kumar,male,57.0,sc,inc,hand,2921,4.0,2925,1.390592464,250605
2014,andhra pradesh,93,prathipadu (sc),dr. dara ambedkar,male,42.0,sc,bjp,lotus,954,22.0,976,0.464006237,250605
2014,andhra pradesh,94,guntur west,b. anil kumar,male,31.0,general,ind,laptop,192,,192,0.109937301,265258
2014,andhra pradesh,94,guntur west,athukuri krishnaiah,male,49.0,general,ind,bangles,139,,139,0.079590025,265258
2014,andhra pradesh,94,guntur west,k venkateswarlu,male,56.0,general,ind,helicopter,134,,134,0.076727075,265258
2014,andhra pradesh,94,guntur west,akula. yedukondalu,male,42.0,general,ind,helmet,110,,110,0.062984912,265258
2014,andhra pradesh,94,guntur west,indla. sunny deol,male,29.0,general,ind,calculator,87,,87,0.04981534,265258
2014,andhra pradesh,94,guntur west,sivaji kanchibhotla,male,37.0,general,ind,hour glass,85,,85,0.048670159,265258
2014,andhra pradesh,94,guntur west,sangati srinivasa reddy,male,31.0,general,ind,ship,80,,80,0.045807209,265258
2014,andhra pradesh,94,guntur west,tanniru. suresh babu,male,37.0,general,ind,ganna kisan,63,,63,0.036073177,265258
2014,andhra pradesh,94,guntur west,raheem sk,male,32.0,general,ind,rubber stamp,57,,57,0.032637636,265258
2014,andhra pradesh,94,guntur west,balaji singh rajaputra,male,56.0,general,ind,camera,56,,56,0.032065046,265258
2014,andhra pradesh,94,guntur west,gangaraju dinakar,male,38.0,general,ind,jackfruit,37,,37,0.021185834,265258
2014,andhra pradesh,94,guntur west,shaik. rafi,male,41.0,general,ind,pot,32,,32,0.018322884,265258
2014,andhra pradesh,94,guntur west,narasimha rao sattenapalli,male,40.0,general,ind,apple,31,,31,0.017750293,265258
2014,andhra pradesh,94,guntur west,p.n.v. pavan kumar,male,33.0,general,ind,binoculars,27,,27,0.015459933,265258
2014,andhra pradesh,94,guntur west,sk. moulali,male,33.0,general,ind,balloon,25,,25,0.014314753,265258
